Date,AHS Weighted Average (%)
1988,7.657629682
1989,11.5654789
1990,14.06636751
1991,11.30176259
1992,11.89154929
1993,12.35003011
1994,12.1178971
1995,10.46429441
1996,9.901084111
1997,9.008512923
1998,8.974942546
1999,9.375508687
2000,7.65709408
2001,7.867955499
2002,8.124801054
2003,7.143490359
2004,6.060293597
2005,5.635797533
2006,5.282821029
2007,4.91255009
2008,4.76466212
2009,4.720085146
2010,4.74424548
2011,4.514807478
2012,4.280568167
2013,4.406240116
2014,4.131166132
2015,4.191428821
2016,4.37565926
2017,4.031007676
2018,4.206941985
2019,4.401092063
2020,4.058094957
2021,3.80485497
2022,4.043091476
