"Date","DJT_AdjClose"
2000-01-01,9650000
2000-02-01,13980000
2000-03-01,14440000
2000-04-01,12650000
2000-05-01,10070000
2000-06-01,11080000
2000-07-01,5630000
2000-08-01,8360000
2000-09-01,7370000
2000-10-01,9310000
2000-11-01,10790000
2000-12-01,10830000
2001-01-01,10690000
2001-02-01,13020000
2001-03-01,17400000
2001-04-01,12390000
2001-05-01,10780000
2001-06-01,12820000
2001-07-01,1.4e+07
2001-08-01,9750000
2001-09-01,11570000
2001-10-01,16600000
2001-11-01,14600000
2001-12-01,11380000
2002-01-01,15570000
2002-02-01,19780000
2002-03-01,21920000
2002-04-01,11830000
2002-05-01,18770000
2002-06-01,12540000
2002-07-01,14540000
2002-08-01,14110000
2002-09-01,21880000
2002-10-01,24400000
2002-11-01,15950000
2002-12-01,21190000
2003-01-01,14930000
2003-02-01,18020000
2003-03-01,16140000
2003-04-01,41450000
2003-05-01,19010000
2003-06-01,30240000
2003-07-01,25880000
2003-08-01,17710000
2003-09-01,28280000
2003-10-01,20330000
2003-11-01,22380000
2003-12-01,18850000
2004-01-01,17260000
2004-02-01,26820000
2004-03-01,24620000
2004-04-01,29120000
2004-05-01,23250000
2004-06-01,18580000
2004-07-01,18470000
2004-08-01,17840000
2004-09-01,15880000
2004-10-01,20870000
2004-11-01,25430000
2004-12-01,30550000
2005-01-01,21920000
2005-02-01,20180000
2005-03-01,35410000
2005-04-01,23210000
2005-05-01,28310000
2005-06-01,27200000
2005-07-01,17490000
2005-08-01,21140000
2005-09-01,45020000
2005-10-01,19670000
2005-11-01,25820000
2005-12-01,19530000
2006-01-01,33880000
2006-02-01,48270000
2006-03-01,24800000
2006-04-01,25710000
2006-05-01,27480000
2006-06-01,28530000
2006-07-01,12610000
2006-08-01,33650000
2006-09-01,20080000
2006-10-01,26320000
2006-11-01,30860000
2006-12-01,27940000
2007-01-01,40270000
2007-02-01,37780000
2007-03-01,53200000
2007-04-01,28970000
2007-05-01,44710000
2007-06-01,23660000
2007-07-01,21190000
2007-08-01,36990000
2007-09-01,20080000
2007-10-01,22620000
2007-11-01,23030000
2007-12-01,20850000
2008-01-01,32480000
2008-02-01,36860000
2008-03-01,22200000
2008-04-01,29450000
2008-05-01,29940000
2008-06-01,23330000
2008-07-01,30120000
2008-08-01,23530000
2008-09-01,28250000
2008-10-01,23160000
2008-11-01,19580000
2008-12-01,25080000
2009-01-01,17640000
2009-02-01,25100000
2009-03-01,32790000
2009-04-01,23740000
2009-05-01,22370000
2009-06-01,25510000
2009-07-01,15930000
2009-08-01,20750000
2009-09-01,24810000
2009-10-01,26950000
2009-11-01,3.4e+07
2009-12-01,20780000
2010-01-01,20470000
2010-02-01,20980000
2010-03-01,19920000
2010-04-01,16440000
2010-05-01,22490000
2010-06-01,23630000
2010-07-01,28400000
2010-08-01,17920000
2010-09-01,19080000
2010-10-01,20110000
2010-11-01,13760000
2010-12-01,14790000
2011-01-01,17110000
2011-02-01,20710000
2011-03-01,22820000
2011-04-01,13580000
2011-05-01,21790000
2011-06-01,19770000
2011-07-01,14750000
2011-08-01,21840000
2011-09-01,16870000
2011-10-01,42330000
2011-11-01,21660000
2011-12-01,32390000
2012-01-01,13110000
2012-02-01,15380000
2012-03-01,13730000
2012-04-01,13400000
2012-05-01,13070000
2012-06-01,19910000
2012-07-01,12420000
2012-08-01,16150000
2012-09-01,11620000
2012-10-01,12060000
2012-11-01,12030000
2012-12-01,8940000
2013-01-01,12590000
2013-02-01,11920000
2013-03-01,12530000
2013-04-01,10160000
2013-05-01,10990000
2013-06-01,11090000
2013-07-01,10080000
2013-08-01,13440000
2013-09-01,13390000
2013-10-01,12070000
2013-11-01,11940000
2013-12-01,9840000
2014-01-01,8510000
